countryiso3code,country_name,internet_usage_pct,internet_usage_pct_year,mobile_subscriptions_per_100_year,mobile_subscriptions_per_100,population_year,population,gdp_per_capita_year,gdp_per_capita,rural_population_pct_year,rural_population_pct,latest_year,earliest_year,year_spread,complete_core_data,usage_gap_pp,population_affected_est,gap_score,population_impact_score,rural_score,economic_vulnerability_score,priority_score,priority_band,data_confidence,priority_score_alt,rank_base,rank_alt,rank_change,diagnostic_segment,display_rank
HND,Honduras,58.62269974,2024,2024,70.9397440517258,2025,11005850.0,2025,3598.21450440452,2025,40.7482924099341,2025,2024,1,True,21.37730026,2352753.60066521,74.01960784313727,76.47058823529412,60.29411764705882,71.07843137254902,72.1078431372549,Higher,High,72.3529411764706,57.0,59.0,-2.0,Rural / access investigation,57
EGY,"Egypt, Arab Rep.",74.64839935,2024,2024,97.1295066037455,2025,118365995.0,2025,3085.80712036204,2025,57.0956795074752,2025,2024,1,True,5.351600649999995,6334475.357798961,59.31372549019608,82.35294117647058,76.9607843137255,74.01960784313725,71.81372549019608,Higher,High,74.11764705882354,58.0,54.0,4.0,Rural / access investigation,58
SWZ,Eswatini,63.40309906,2024,2024,139.833459658744,2025,1256174.0,2025,4108.25221093363,2025,73.2786290293475,2025,2024,1,True,16.596900939999998,208485.9544140356,71.07843137254902,64.2156862745098,92.64705882352942,68.13725490196079,71.66666666666667,Higher,High,70.98039215686275,59.0,61.0,-2.0,Rural / access investigation,59
NIC,Nicaragua,61.39550018,2024,2024,105.961143065351,2025,7007502.0,2025,3173.33724815085,2025,40.5564107042668,2025,2024,1,True,18.60449982,1303710.6969764964,72.05882352941177,74.50980392156863,58.82352941176471,72.54901960784314,70.90686274509805,Higher,High,71.15196078431374,60.0,60.0,0.0,Rural / access investigation,60
IDN,Indonesia,72.78075544,2024,2024,122.514946500491,2025,285721236.0,2025,5059.62596411213,2025,40.6070936030016,2025,2024,1,True,7.219244560000007,20626914.78669478,60.29411764705882,93.62745098039215,59.80392156862745,63.72549019607843,70.90686274509804,Higher,High,74.24019607843137,61.0,53.0,8.0,Rural / access investigation,61
GTM,Guatemala,60.22140121,2024,2024,112.520863034346,2025,18687881.0,2025,6598.18032988711,2025,43.7027966986001,2025,2024,1,True,19.77859879,3696201.005342639,72.54901960784314,79.41176470588235,62.745098039215684,56.86274509803921,70.0,Higher,High,70.68627450980392,62.0,62.0,0.0,Rural / access investigation,62
GHA,Ghana,72.17569733,2024,2024,113.647966704673,2025,35064272.0,2025,3257.1588903576,2025,41.0753138526875,2025,2024,1,True,7.824302669999994,2743534.7703120606,62.254901960784316,77.94117647058823,60.78431372549019,72.05882352941177,68.70098039215686,Higher,High,70.26960784313727,63.0,63.0,0.0,Rural / access investigation,63
NAM,Namibia,64.87460327,2024,2024,85.1648988113055,2025,3092816.0,2025,4875.92558158247,2025,49.1333015600674,2025,2024,1,True,15.125396730000006,467800.6901289169,70.09803921568627,68.13725490196079,70.58823529411765,64.70588235294117,68.50490196078431,Higher,High,68.30882352941177,64.0,64.0,0.0,Rural / access investigation,64
TON,Tonga,67.4417038,2024,2022,61.7257858761257,2025,103742.0,2025,6547.18646814228,2025,78.8438593782552,2025,2022,3,True,12.5582962,13028.227643804,67.15686274509804,56.86274509803921,97.54901960784314,57.84313725490196,66.76470588235294,Higher,Medium,65.73529411764706,65.0,65.0,0.0,Rural / access investigation,65
TUV,Tuvalu,35.20000076,2017,2022,98.8590872698158,2025,9492.0,2025,6041.44908591428,2025,34.5519290474907,2025,2017,8,True,44.79999924,4252.4159278608,84.31372549019608,54.41176470588235,48.529411764705884,59.80392156862745,65.0735294117647,Medium,Low,62.083333333333336,66.0,69.0,-3.0,Affordability / economic investigation,66
